VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,02/09/2022 07:17:00 AM,02/09/2022 07:28:00 AM,,,152,42,,1.62,10.08,0,0,0,0,,0.3,10.38,,,
2,02/09/2022 07:17:54 AM,02/09/2022 07:35:06 AM,N,1,95,258,1,3.12,14,0,0.5,1.75,0,,0.3,16.55,1,1,0
2,02/09/2022 07:17:58 AM,02/09/2022 07:25:28 AM,N,1,74,43,1,1.32,7,0,0.5,1.17,0,,0.3,8.97,1,1,0
2,02/09/2022 07:18:09 AM,02/09/2022 07:27:25 AM,N,1,75,42,1,2.2,9,0,0.5,0,0,,0.3,9.8,2,1,0
1,02/09/2022 07:18:47 AM,02/09/2022 07:45:57 AM,N,1,185,51,1,0,17.2,0,0.5,0,0,,0.3,18,1,1,0
2,02/09/2022 07:18:50 AM,02/09/2022 07:30:19 AM,N,1,74,238,1,2.27,10,0,0.5,1.62,0,,0.3,12.42,1,1,0
2,02/09/2022 07:19:05 AM,02/09/2022 07:26:48 AM,N,1,74,74,1,0.93,7,0,0.5,2.34,0,,0.3,10.14,1,1,0
2,02/09/2022 07:19:27 AM,02/09/2022 07:27:09 AM,N,1,74,75,1,1.4,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,02/09/2022 07:20:23 AM,02/09/2022 07:28:54 AM,N,1,74,75,1,1.66,8,0,0.5,0,0,,0.3,8.8,2,1,0
1,02/09/2022 07:20:24 AM,02/09/2022 07:24:54 AM,N,1,75,75,1,0.6,4.5,0,0.5,0,0,,0.3,5.3,3,1,0
2,02/09/2022 07:21:02 AM,02/09/2022 07:27:09 AM,N,1,42,41,1,1.01,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,02/09/2022 07:21:22 AM,02/09/2022 07:29:01 AM,N,1,116,244,1,1.6,8,0,0.5,0,0,,0.3,8.8,2,1,0
2,02/09/2022 07:24:00 AM,02/09/2022 07:52:00 AM,,,41,129,,6.39,25.03,0,0,6.98,6.55,,0.3,38.86,,,
2,02/09/2022 07:24:03 AM,02/09/2022 07:34:27 AM,N,1,74,75,1,1.55,8.5,0,0.5,1.86,0,,0.3,11.16,1,1,0
2,02/09/2022 07:25:35 AM,02/09/2022 07:30:59 AM,N,1,74,75,1,1.2,6,0,0.5,2.04,0,,0.3,8.84,1,1,0
2,02/09/2022 07:26:38 AM,02/09/2022 07:31:55 AM,N,1,74,41,1,0.99,6,0,0.5,0,0,,0.3,6.8,2,1,0
1,02/09/2022 07:28:37 AM,02/09/2022 08:05:36 AM,N,1,24,65,1,0,36.2,0,0.5,0,0,,0.3,37,1,1,0
2,02/09/2022 07:28:42 AM,02/09/2022 07:43:58 AM,N,1,43,164,1,3.27,13,0,0.5,3,0,,0.3,19.55,1,1,2.75
2,02/09/2022 07:28:59 AM,02/09/2022 07:43:31 AM,N,1,95,258,2,2.8,12,0,0.5,0,0,,0.3,12.8,2,1,0
1,02/09/2022 07:29:10 AM,02/09/2022 08:06:34 AM,N,1,74,10,2,14.2,42.5,0,0.5,0,6.55,,0.3,49.85,2,1,0
2,02/09/2022 07:29:19 AM,02/09/2022 07:36:21 AM,N,1,74,42,3,2.55,9.5,0,0.5,0,0,,0.3,10.3,2,1,0
2,02/09/2022 07:30:00 AM,02/09/2022 07:46:00 AM,,,166,75,,2.22,12.71,0,0,3.1,0,,0.3,16.11,,,
2,02/09/2022 07:30:00 AM,02/09/2022 07:54:00 AM,,,66,162,,6.5,25.43,0,0,6.31,0,,0.3,34.79,,,
2,02/09/2022 07:31:01 AM,02/09/2022 07:55:15 AM,N,1,75,87,1,8.2,26.5,0,0.5,6.01,0,,0.3,36.06,1,1,2.75
2,02/09/2022 07:31:09 AM,02/09/2022 07:35:04 AM,N,1,95,95,1,0.78,4.5,0,0.5,1.59,0,,0.3,6.89,1,1,0
1,02/09/2022 07:32:08 AM,02/09/2022 07:42:27 AM,N,1,74,152,1,1.3,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
1,02/09/2022 07:32:17 AM,02/09/2022 07:43:23 AM,N,1,74,140,1,3.6,12.5,2.75,0.5,4,0,,0.3,20.05,1,1,2.75
2,02/09/2022 07:32:21 AM,02/09/2022 07:39:10 AM,N,1,74,75,1,1.38,7,0,0.5,0,0,,0.3,7.8,2,1,0
2,02/09/2022 07:32:25 AM,02/09/2022 07:43:41 AM,N,1,166,41,1,1.36,8.5,0,0.5,0,0,,0.3,9.3,2,1,0
